player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,True,J03WOH_Away_1
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_106
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WOH_Away_106
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_106
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_106
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_106
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,3,True,J03WOH_Away_106
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOH_Away_106
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,5,False,J03WOH_Away_106
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,True,J03WOH_Away_110
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,4,False,J03WOH_Away_110
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_110
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,1,True,J03WOH_Away_116
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_116
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_116
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_116
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOH_Away_116
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,3,False,J03WOH_Away_116
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_116
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_117
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_117
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_125
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_127
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_134
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_134
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_134
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_136
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_136
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_139
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_140
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_147
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_153
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_157
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Away_157
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,0,True,J03WOH_Away_157
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Away_157
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,0,False,J03WOH_Away_157
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_157
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOH_Away_157
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,4,False,J03WOH_Away_157
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_157
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,5,False,J03WOH_Away_157
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_165
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_165
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_172
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,1,True,J03WOH_Away_178
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_181
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_183
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_183
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_185
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_185
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,3,True,J03WOH_Away_185
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,4,True,J03WOH_Away_185
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,5,False,J03WOH_Away_185
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_195
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_195
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,True,J03WOH_Away_195
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,2,True,J03WOH_Away_195
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_198
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_201
DFL-OBJ-002651,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_202
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,True,J03WOH_Away_204
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_205
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_206
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_21
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Away_21
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_21
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Away_21
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOH_Away_21
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_210
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_211
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_213
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_213
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_213
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_213
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_213
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_213
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_213
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_213
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,4,True,J03WOH_Away_213
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOH_Away_213
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,5,False,J03WOH_Away_213
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_215
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_215
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_217
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_222
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_222
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,3,False,J03WOH_Away_222
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_224
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_229
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Away_229
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,0,False,J03WOH_Away_229
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOH_Away_229
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_229
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,3,False,J03WOH_Away_229
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,4,True,J03WOH_Away_229
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_229
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,5,False,J03WOH_Away_229
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,5,False,J03WOH_Away_229
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,6,False,J03WOH_Away_229
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,7,True,J03WOH_Away_229
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_235
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_235
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_235
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_235
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_235
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_235
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_236
DFL-OBJ-002651,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_250
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_250
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Away_250
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,4,False,J03WOH_Away_250
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,5,False,J03WOH_Away_250
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,5,False,J03WOH_Away_250
DFL-OBJ-002GNH,DFL-CLU-000011,Away,Goalkeeper,5,False,J03WOH_Away_250
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,6,False,J03WOH_Away_250
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,6,False,J03WOH_Away_250
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,7,False,J03WOH_Away_250
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,8,False,J03WOH_Away_250
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_251
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_254
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_255
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WOH_Away_257
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_257
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_257
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_259
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_259
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_262
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_264
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_264
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_264
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_264
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Away_264
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,4,False,J03WOH_Away_264
DFL-OBJ-002GFH,DFL-CLU-000011,Away,Defender,4,False,J03WOH_Away_264
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_265
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_265
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_272
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_272
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_272
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_272
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_276
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_276
DFL-OBJ-002GFH,DFL-CLU-000011,Away,Defender,2,True,J03WOH_Away_276
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_281
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_281
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_281
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_282
