player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WOY_Away_10
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_102
DFL-OBJ-002GLL,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_102
DFL-OBJ-002GLL,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_105
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_109
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_109
DFL-OBJ-0028KZ,DFL-CLU-00000Q,Away,Defender,3,False,J03WOY_Away_109
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOY_Away_109
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,4,True,J03WOY_Away_109
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,5,False,J03WOY_Away_109
DFL-OBJ-002GLL,DFL-CLU-00000Q,Away,Unknown,6,False,J03WOY_Away_109
DFL-OBJ-J0196K,DFL-CLU-00000Q,Away,Unknown,6,False,J03WOY_Away_109
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,1,True,J03WOY_Away_11
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_110
DFL-OBJ-002FZB,DFL-CLU-00000Q,Away,Goalkeeper,1,False,J03WOY_Away_110
DFL-OBJ-0025BB,DFL-CLU-00000Q,Away,Defender,1,False,J03WOY_Away_111
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,1,True,J03WOY_Away_113
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,0,True,J03WOY_Away_117
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,0,False,J03WOY_Away_117
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_117
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_118
DFL-OBJ-J0196K,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_119
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,0,True,J03WOY_Away_12
DFL-OBJ-J01KGY,DFL-CLU-00000Q,Away,Unknown,2,False,J03WOY_Away_12
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_129
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_129
DFL-OBJ-0025BB,DFL-CLU-00000Q,Away,Defender,1,False,J03WOY_Away_13
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOY_Away_13
DFL-OBJ-0028KZ,DFL-CLU-00000Q,Away,Defender,2,True,J03WOY_Away_13
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_130
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,1,True,J03WOY_Away_132
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_132
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_132
DFL-OBJ-0025BB,DFL-CLU-00000Q,Away,Defender,1,True,J03WOY_Away_135
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WOY_Away_135
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_135
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOY_Away_143
DFL-OBJ-00286X,DFL-CLU-00000Q,Away,Defender,2,True,J03WOY_Away_143
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,1,False,J03WOY_Away_145
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WOY_Away_149
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOY_Away_15
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_152
DFL-OBJ-002GLL,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_153
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_155
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,2,True,J03WOY_Away_155
DFL-OBJ-J01GG9,DFL-CLU-00000Q,Away,Unknown,4,False,J03WOY_Away_155
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,5,False,J03WOY_Away_155
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOY_Away_163
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_165
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_167
DFL-OBJ-0028IJ,DFL-CLU-00000Q,Away,Midfielder,1,True,J03WOY_Away_167
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,2,False,J03WOY_Away_167
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,4,False,J03WOY_Away_167
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,1,False,J03WOY_Away_170
DFL-OBJ-00286X,DFL-CLU-00000Q,Away,Defender,1,False,J03WOY_Away_170
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,True,J03WOY_Away_170
DFL-OBJ-0028KZ,DFL-CLU-00000Q,Away,Defender,1,False,J03WOY_Away_171
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,False,J03WOY_Away_171
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,1,False,J03WOY_Away_173
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_173
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,3,False,J03WOY_Away_173
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOY_Away_173
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,4,False,J03WOY_Away_173
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,5,False,J03WOY_Away_173
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_179
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_18
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_182
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_185
DFL-OBJ-0028IJ,DFL-CLU-00000Q,Away,Midfielder,1,True,J03WOY_Away_185
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,2,True,J03WOY_Away_185
DFL-OBJ-00286X,DFL-CLU-00000Q,Away,Defender,1,True,J03WOY_Away_191
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_192
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_195
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_195
DFL-OBJ-00286X,DFL-CLU-00000Q,Away,Defender,1,True,J03WOY_Away_197
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WOY_Away_197
DFL-OBJ-0028KZ,DFL-CLU-00000Q,Away,Defender,2,False,J03WOY_Away_197
DFL-OBJ-002FZB,DFL-CLU-00000Q,Away,Goalkeeper,2,False,J03WOY_Away_197
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_200
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,2,True,J03WOY_Away_200
DFL-OBJ-00286X,DFL-CLU-00000Q,Away,Defender,3,True,J03WOY_Away_200
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,3,False,J03WOY_Away_200
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,True,J03WOY_Away_205
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_206
