player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_10
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_10
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_10
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Away_10
DFL-OBJ-0028BZ,DFL-CLU-000005,Away,Forward,3,True,J03WPY_Away_10
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,5,False,J03WPY_Away_10
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,2,False,J03WPY_Away_101
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Away_101
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,2,False,J03WPY_Away_101
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Away_101
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,3,False,J03WPY_Away_101
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Midfielder,3,False,J03WPY_Away_101
DFL-OBJ-0028T3,DFL-CLU-000005,Away,Midfielder,3,True,J03WPY_Away_101
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,5,False,J03WPY_Away_101
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,6,False,J03WPY_Away_101
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_123
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,2,False,J03WPY_Away_123
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_13
DFL-OBJ-0001HW,DFL-CLU-000005,Away,Goalkeeper,1,True,J03WPY_Away_13
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Away_13
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,True,J03WPY_Away_132
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_133
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,2,False,J03WPY_Away_133
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Away_133
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,1,True,J03WPY_Away_138
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,2,True,J03WPY_Away_138
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,False,J03WPY_Away_140
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,3,True,J03WPY_Away_140
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_142
DFL-OBJ-0000EJ,DFL-CLU-000005,Away,Unknown,1,True,J03WPY_Away_143
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,1,False,J03WPY_Away_143
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_143
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_143
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_143
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,3,False,J03WPY_Away_143
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,3,False,J03WPY_Away_143
