player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,False,J03WQQ_Away_1
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,False,J03WQQ_Away_1
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_100
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,2,False,J03WQQ_Away_100
DFL-OBJ-0027QN,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_101
DFL-OBJ-J01PRP,DFL-CLU-00000H,Away,Defender,1,True,J03WQQ_Away_101
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Unknown,1,False,J03WQQ_Away_104
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_104
DFL-OBJ-0026V5,DFL-CLU-00000H,Away,Unknown,2,True,J03WQQ_Away_104
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,3,False,J03WQQ_Away_104
DFL-OBJ-J01PRP,DFL-CLU-00000H,Away,Defender,4,True,J03WQQ_Away_104
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_107
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Unknown,2,False,J03WQQ_Away_107
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,2,True,J03WQQ_Away_107
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,3,False,J03WQQ_Away_107
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_109
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,2,True,J03WQQ_Away_109
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_11
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_111
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_114
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_114
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,2,True,J03WQQ_Away_114
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,4,False,J03WQQ_Away_114
DFL-OBJ-002GIY,DFL-CLU-00000H,Away,Unknown,4,True,J03WQQ_Away_114
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,5,False,J03WQQ_Away_114
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WQQ_Away_124
DFL-OBJ-002GIY,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_129
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,1,False,J03WQQ_Away_131
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WQQ_Away_134
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_139
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,2,True,J03WQQ_Away_141
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,2,False,J03WQQ_Away_141
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,2,True,J03WQQ_Away_141
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,1,True,J03WQQ_Away_142
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,2,False,J03WQQ_Away_142
DFL-OBJ-0026V5,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_151
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Midfielder,1,False,J03WQQ_Away_151
DFL-OBJ-002GIY,DFL-CLU-00000H,Away,Unknown,2,False,J03WQQ_Away_151
DFL-OBJ-002GN4,DFL-CLU-00000H,Away,Defender,3,False,J03WQQ_Away_151
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,3,False,J03WQQ_Away_151
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WQQ_Away_160
DFL-OBJ-00008K,DFL-CLU-00000P,Home,Unknown,0,False,J03WQQ_Away_164
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Unknown,2,False,J03WQQ_Away_164
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,3,False,J03WQQ_Away_164
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Unknown,1,False,J03WQQ_Away_165
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_165
DFL-OBJ-002GN4,DFL-CLU-00000H,Away,Defender,2,True,J03WQQ_Away_165
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,1,False,J03WQQ_Away_167
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Unknown,1,False,J03WQQ_Away_170
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_170
DFL-OBJ-J01PRP,DFL-CLU-00000H,Away,Defender,1,True,J03WQQ_Away_170
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_173
DFL-OBJ-0027QN,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_173
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,1,False,J03WQQ_Away_173
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,2,True,J03WQQ_Away_173
DFL-OBJ-0028LZ,DFL-CLU-00000H,Away,Goalkeeper,2,False,J03WQQ_Away_173
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,2,False,J03WQQ_Away_173
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,2,False,J03WQQ_Away_173
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,3,False,J03WQQ_Away_173
DFL-OBJ-J01PRP,DFL-CLU-00000H,Away,Defender,1,True,J03WQQ_Away_178
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,True,J03WQQ_Away_181
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,False,J03WQQ_Away_182
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,1,False,J03WQQ_Away_183
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,1,False,J03WQQ_Away_187
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,2,False,J03WQQ_Away_187
DFL-OBJ-J0157X,DFL-CLU-00000H,Away,Unknown,3,True,J03WQQ_Away_187
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,1,False,J03WQQ_Away_188
DFL-OBJ-002FZR,DFL-CLU-00000H,Away,Forward,1,False,J03WQQ_Away_189
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,True,J03WQQ_Away_189
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Midfielder,1,False,J03WQQ_Away_189
DFL-OBJ-002GN4,DFL-CLU-00000H,Away,Defender,2,False,J03WQQ_Away_189
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,False,J03WQQ_Away_190
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,True,J03WQQ_Away_192
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Unknown,3,False,J03WQQ_Away_192
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,4,False,J03WQQ_Away_192
DFL-OBJ-0002EL,DFL-CLU-00000H,Away,Midfielder,1,False,J03WQQ_Away_20
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WQQ_Away_20
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_202
DFL-OBJ-00008K,DFL-CLU-00000P,Home,Unknown,0,False,J03WQQ_Away_206
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_206
DFL-OBJ-0027QN,DFL-CLU-00000H,Away,Unknown,1,False,J03WQQ_Away_206
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WQQ_Away_206
DFL-OBJ-002GIY,DFL-CLU-00000H,Away,Unknown,1,False,J03WQQ_Away_206
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WQQ_Away_206
