ocel:eid,ocel:activity,ocel:timestamp,attribute:subtype,attribute:duration,attribute:crossed_grid,attribute:attack_game,attribute:attack_successful,attribute:home_team_score,attribute:away_team_score,attribute:start_x,attribute:start_y,attribute:end_x,attribute:end_y,attribute:travel_distance,attribute:start_grid,ocel:type:Team,ocel:type:Player,ocel:type:case:concept:name,ocel:type:ball,ocel:type:end_grid
15892,RECOVERY-INTERCEPTION,1970-01-01 01:22:47+00:00,INTERCEPTION,0.0,True,319,False,4,0,0.31,0.51,,,,B3,Away,['Player15'],AA156,['ball_1'],
15893,PASS Out,1970-01-01 01:22:48+00:00,,1.5999999999994543,True,319,False,4,0,0.32,0.53,0.27,0.78,0.25495097567963926,B3,Away,['Player15'],AA156,['ball_1'],['B4']
15895,Player changes position,1970-01-01 01:22:49+00:00,,,,319,False,4,0,,,0.29758,0.75,,B3,Away,['Player17'],AA156,,['B4']
15896,Player changes position,1970-01-01 01:22:50+00:00,,,,319,False,4,0,,,0.07103,0.50051,,A2,Away,['Player25'],AA156,,['A3']
15897,PASS Received,1970-01-01 01:22:50+00:00,,1.5999999999994543,True,319,False,4,0,0.27,0.78,0.27,0.78,0.25495097567963926,B4,Away,['Player17'],AA156,['ball_1'],['B4']
15901,Player changes position,1970-01-01 01:22:51+00:00,,,,319,False,4,0,,,0.45917,0.75029,,C3,Away,['Player18'],AA156,,['C4']
15902,Player changes position,1970-01-01 01:22:51+00:00,,,,319,False,4,0,,,0.28048,0.50023,,B2,Away,['Player16'],AA156,,['B3']
15905,Player changes position,1970-01-01 01:22:51+00:00,,,,319,False,4,0,,,0.37698,0.50119,,C2,Away,['Player21'],AA156,,['C3']
15908,Player changes position,1970-01-01 01:22:52+00:00,,,,319,False,4,0,,,0.22695,0.74974,,B4,Away,['Player17'],AA156,,['B3']
15909,PASS Out,1970-01-01 01:22:52+00:00,,1.2799999999997453,True,319,False,4,0,0.23,0.75,0.26,0.52,0.23194827009486402,B4,Away,['Player17'],AA156,['ball_1'],['B3']
15911,PASS Received,1970-01-01 01:22:54+00:00,,1.2799999999997453,True,319,False,4,0,0.26,0.52,0.26,0.52,0.23194827009486402,B3,Away,['Player16'],AA156,['ball_1'],['B3']
15912,Player changes position,1970-01-01 01:22:54+00:00,,,,319,False,4,0,,,0.06347,0.49981,,A3,Away,['Player25'],AA156,,['A2']
15913,Player changes position,1970-01-01 01:22:54+00:00,,,,319,False,4,0,,,0.2542,0.7501,,B3,Away,['Player17'],AA156,,['B4']
15916,Player changes position,1970-01-01 01:22:55+00:00,,,,319,False,4,0,,,0.34598,0.49956,,C3,Away,['Player21'],AA156,,['C2']
15917,PASS Out,1970-01-01 01:22:55+00:00,,2.199999999999818,True,319,False,4,0,0.27,0.51,0.5,0.07,0.49648766349225637,B3,Away,['Player16'],AA156,['ball_1'],['D1']
15919,Player changes position,1970-01-01 01:22:56+00:00,,,,319,False,4,0,,,0.50033,0.90235,,C4,Away,['Player18'],AA156,,['D4']
15920,Player changes position,1970-01-01 01:22:56+00:00,,,,319,False,4,0,,,0.27318,0.49997,,B3,Away,['Player16'],AA156,,['B2']
15923,Player changes position,1970-01-01 01:22:57+00:00,,,,319,False,4,0,,,0.3337,0.81419,,B4,Away,['Player17'],AA156,,['C4']
15924,Player changes position,1970-01-01 01:22:57+00:00,,,,319,False,4,0,,,0.50075,0.28514,,C2,Away,['Player28'],AA156,,['D2']
15926,PASS Received,1970-01-01 01:22:58+00:00,,2.199999999999818,True,319,False,4,0,0.5,0.07,0.5,0.07,0.49648766349225637,D1,Away,['Player27'],AA156,['ball_1'],['D1']
15929,Player changes position,1970-01-01 01:22:58+00:00,,,,319,False,4,0,,,0.50048,0.07065,,C1,Away,['Player27'],AA156,,['D1']
15930,Player changes position,1970-01-01 01:22:58+00:00,,,,319,False,4,0,,,0.33347,0.3099,,B2,Away,['Player20'],AA156,,['C2']
15931,Player changes position,1970-01-01 01:22:59+00:00,,,,319,False,4,0,,,0.54574,0.2489,,D2,Away,['Player28'],AA156,,['D1']
15938,Player changes position,1970-01-01 01:22:59+00:00,,,,319,False,4,0,,,0.33391,0.46686,,B2,Away,['Player16'],AA156,,['C2']
15939,PASS Out,1970-01-01 01:23:00+00:00,,0.4000000000005457,False,319,False,4,0,0.55,0.07,0.59,0.22,0.1552417469626002,D1,Away,['Player27'],AA156,['ball_1'],['D1']
15940,Player changes position,1970-01-01 01:23:00+00:00,,,,319,False,4,0,,,0.66702,0.40372,,D2,Away,['Player23'],AA156,,['E2']
15941,PASS Received,1970-01-01 01:23:00+00:00,,0.4000000000005457,False,319,False,4,0,0.59,0.22,0.59,0.22,0.1552417469626002,D1,Away,['Player28'],AA156,['ball_1'],['D1']
15943,Player changes position,1970-01-01 01:23:01+00:00,,,,319,False,4,0,,,0.334,0.65779,,B3,Away,['Player15'],AA156,,['C3']
15944,Player changes position,1970-01-01 01:23:01+00:00,,,,319,False,4,0,,,0.6669,0.56209,,D3,Away,['Player26'],AA156,,['E3']
15945,PASS Out,1970-01-01 01:23:01+00:00,,3.1200000000008004,True,319,False,4,0,0.6,0.21,0.81,0.04,0.270185121722126,D1,Away,['Player28'],AA156,['ball_1'],['E1']
15946,Player changes position,1970-01-01 01:23:01+00:00,,,,319,False,4,0,,,0.50027,0.79168,,C4,Away,['Player17'],AA156,,['D4']
15949,Player changes position,1970-01-01 01:23:02+00:00,,,,319,False,4,0,,,0.50079,0.30406,,C2,Away,['Player21'],AA156,,['D2']
15950,Player changes position,1970-01-01 01:23:02+00:00,,,,319,False,4,0,,,0.66843,0.06973,,D1,Away,['Player27'],AA156,,['E1']
15951,Player changes position,1970-01-01 01:23:02+00:00,,,,319,False,4,0,,,0.66789,0.78965,,D4,Away,['Player18'],AA156,,['E4']
15957,Player changes position,1970-01-01 01:23:04+00:00,,,,319,False,4,0,,,0.66803,0.18533,,D1,Away,['Player28'],AA156,,['E1']
15958,PASS Received,1970-01-01 01:23:04+00:00,,3.1200000000008004,True,319,False,4,0,0.81,0.04,0.81,0.04,0.270185121722126,E1,Away,['Player27'],AA156,['ball_1'],['E1']
15961,Player changes position,1970-01-01 01:23:04+00:00,,,,319,False,4,0,,,0.7395,0.74862,,E4,Away,['Player18'],AA156,,['E3']
15963,Player changes position,1970-01-01 01:23:04+00:00,,,,319,False,4,0,,,0.62174,0.74996,,D4,Away,['Player17'],AA156,,['D3']
15965,Player changes position,1970-01-01 01:23:05+00:00,,,,319,False,4,0,,,0.83436,0.05039,,E1,Away,['Player27'],AA156,,['F1']
15966,Player changes position,1970-01-01 01:23:05+00:00,,,,319,False,4,0,,,0.16673,0.45978,,A2,Away,['Player25'],AA156,,['B2']
15967,Player changes position,1970-01-01 01:23:05+00:00,,,,319,False,4,0,,,0.83451,0.52551,,E3,Away,['Player26'],AA156,,['F3']
15968,Player changes position,1970-01-01 01:23:05+00:00,,,,319,False,4,0,,,0.8337,0.4133,,E2,Away,['Player23'],AA156,,['F2']
15969,Player changes position,1970-01-01 01:23:06+00:00,,,,319,False,4,0,,,0.66712,0.68656,,D3,Away,['Player17'],AA156,,['E3']
